interval	n_switch_errors_grch38	n_switch_errors_chm13	n_checked_grch38	n_checked_chm13	switch_error_rate_grch38	switch_error_rate_chm13	n_gt_checked_grch38	n_gt_checked_chm13	genotype_error_rate_grch38	genotype_error_rate_chm13	abs_diff_GER	rel_drop_GER	abs_diff_SER	rel_drop_SER	decipher
11q12.3	929	520	70843	49309	1.3113504509972755	1.0545742156604272	470897	327815	1.128909294389219	0.8599362445281638	0.2689730498610552	23.825922170884372	0.25677623533684835	19.581053649050972	False
22q11.21	1314	1739	104880	172334	1.2528604118993136	1.0090870054661298	704511	1150482	1.1713088936865428	1.441048186759984	-0.26973929307344124	-23.02887773902851	0.2437734064331838	19.45734769156188	True
3q22.2	728	541	71648	66102	1.0160786065207683	0.8184321200568818	514324	467177	0.8199111843896066	0.5394101165083041	0.2805010678813026	34.211152771397444	0.1976464864638865	19.451889371105135	False
6q22.1	1217	891	136782	124239	0.8897369536927373	0.717166107261005	878695	792398	0.8423855831659449	0.5913694885650898	0.25101609460085517	29.79824199477147	0.17257084643173226	19.39571529714479	False
9p21.1	1759	1300	257309	235501	0.6836138650416425	0.5520146411267893	1735933	1580912	1.332424696114424	1.136116368273503	0.196308327840921	14.733164914564355	0.13159922391485313	19.25052001495563	False
19p13.13	744	552	50531	46424	1.4723634996338881	1.1890401516457005	349054	317315	1.5696711683579045	1.374659250271812	0.19501191808609253	12.42374339398119	0.2833233479881876	19.242758195149335	False
2q13	1180	777	100156	81662	1.1781620671752067	0.9514829418823932	665918	523307	1.2265774464723884	0.771822276407539	0.45475517006484945	37.07512895926107	0.22667912529281342	19.240063112565274	False
6q26	1640	1243	177979	166736	0.9214570258288899	0.745489876211496	1111756	1032994	1.1426068309952904	0.8281751878520107	0.31443164314327965	27.518796020971426	0.1759671496173939	19.096620318142776	False
13q14.12	237	154	18902	15164	1.2538355729552428	1.0155631759430228	142696	113876	1.0729102427538262	0.8526818644841758	0.22022837826965036	20.526263008207724	0.23827239701222003	19.00348037267925	False
9q22.31	916	687	106595	98688	0.8593273605703833	0.6961332684824904	700833	640125	0.8669683077138205	0.6765866041788713	0.1903817035349492	21.95947670070919	0.16319409208789293	18.990910749027236	False
19q13.42	2249	1476	173656	140275	1.2950891417515087	1.0522188558189272	1087035	874556	1.5434645618586338	1.1517844483372133	0.3916801135214205	25.37668328774332	0.24287028593258153	18.753171353449705	False
10q26.11	1260	960	105011	98471	1.1998742988829743	0.9749063175960434	696924	653818	1.0002525382968588	0.6656286611870582	0.33462387710980057	33.45393931012346	0.22496798128693085	18.74929578009674	False
Xp11.3	1246	951	74534	69940	1.6717202887272922	1.3597369173577352	872079	802932	1.2500014333563818	0.9477763994958477	0.3022250338605341	24.17797498431894	0.311983371369557	18.662414608072687	False
3q29	3125	2296	248711	224591	1.2564784026440325	1.0223027636904418	1628521	1442284	1.7119828359597449	0.8067065848335001	0.9052762511262448	52.878815845063244	0.23417563895359073	18.637458348731684	True
Xq21.32	368	257	34964	29993	1.0525111543301682	0.8568666022071817	364260	310089	0.7154230494701587	0.6759349735076059	0.03948807596255277	5.51954203765137	0.19564455212298648	18.588359022902445	False
Xp11.22	997	690	45512	38680	2.190631042362454	1.7838676318510858	630279	522639	1.8441039603096405	2.0501722986612174	-0.2060683383515769	-11.174442590371992	0.40676341051136844	18.568321303102707	True
12p13.1	899	614	82435	69104	1.090556195790623	0.8885158601528131	563421	473301	0.9358898585604726	0.6649045744674108	0.2709852840930618	28.954826426891135	0.20204033563780976	18.526357139380256	False
9p21.3	2338	1744	241370	220722	0.9686373617268094	0.790134195956905	1672029	1521622	0.5878486557350381	0.4309874594347347	0.15686119630030337	26.68394233277037	0.17850316576990433	18.42827592894859	False
18p11.32	1469	1077	162378	145931	0.9046792053110643	0.7380200231616312	938702	841960	0.9150933949219241	0.6759228466910542	0.23917054823086992	26.136189984332248	0.1666591821494331	18.421909243744484	False
Xq13.3	512	341	39005	31774	1.3126522240738367	1.0732045068294833	461058	368628	0.6949234152753017	0.5756480788220103	0.11927533645329136	17.163810260449942	0.23944771724435343	18.24151994358595	False
18q21.33	1114	859	104501	98425	1.066018506999933	0.8727457454914911	698878	655394	0.7439066618208042	0.5404382707195976	0.20346839110120662	27.351333378732267	0.19327276150844197	18.13033828581122	False
17q24.1	802	587	68860	61524	1.1646819634040082	0.954099213315129	445641	384618	1.0757538018270312	0.9448335751316891	0.1309202266953421	12.170091936741546	0.21058275008887917	18.08070844279329	False
18q21.2	2135	1647	209942	197609	1.0169475378914177	0.8334640628716303	1416836	1328129	1.1868698988450321	0.8920067252503334	0.2948631735946987	24.84376542716571	0.18348347501978735	18.042570357191657	False
2q12.1	1222	955	110761	105599	1.103276424012062	0.9043646246650062	796790	754177	0.7812598049674319	0.5949531741222551	0.18630663084517674	23.84694946042223	0.19891179934705583	18.02918969515487	False
16q23.3	1392	1100	168538	162454	0.8259264972884454	0.67711475248378	1096863	1053468	0.6689076028638035	0.5445822749243452	0.12432532793945827	18.586323044794607	0.1488117448046654	18.017553050207404	False
Xp22.11	798	613	62954	58985	1.2675922101852146	1.0392472662541323	663546	609765	0.9753656867798163	0.7689847728223168	0.20638091395749947	21.159337134246435	0.2283449439310823	18.0140696744829	False
17p12	2797	1983	276955	238803	1.0099113574407395	0.8303915779952512	1766198	1524748	0.8874995895137464	0.7671431607059003	0.12035642880784614	13.561294025362692	0.17951977944548825	17.775795679773044	True
10q26.13	1948	1523	204109	194004	0.9543920160306504	0.7850353600956681	1286779	1215441	0.7831958712412932	0.493647984558691	0.2895478866826022	36.9700476361929	0.16935665593498228	17.74497827835385	False
6q14.1	2373	1759	340582	306084	0.696748506967485	0.5746788463297657	2252309	2014782	0.7015911227100722	0.5556928739684989	0.1458982487415733	20.795338484045324	0.12206966063771929	17.519902722004087	False
11q23.2	788	571	73633	64663	1.0701723412057094	0.8830397599863911	488881	428515	0.877923257398017	0.6818897821546503	0.19603347524336667	22.329226796470724	0.1871325812193183	17.48620983873359	False
11q22.2	263	184	30579	25921	0.8600673664933451	0.709849157054126	197399	166861	0.6899731001676808	0.6130851427235843	0.07688795744409649	11.14361667511542	0.15021820943921915	17.46586549977902	False
15q13.3	954	709	95325	85806	1.000786782061369	0.8262825443442183	619439	549008	1.1482970881717167	0.7018112668667852	0.44648582130493153	38.882430853831785	0.17450423771715062	17.436704885102085	True
6q14.3	1015	740	124836	110179	0.8130667435675606	0.6716343404823061	874657	762187	0.6522556842282174	0.5140470776856598	0.13820860654255762	21.189329565765792	0.1414324030852545	17.39493149906486	False
10p12.1	2278	1729	272932	250652	0.8346401301423065	0.6898009989946221	1593855	1453533	0.9534744377625317	0.7203138834825216	0.23316055428001015	24.453781354343985	0.14483913114768443	17.353482766637317	False
10q22.2	1103	846	78450	72670	1.4059910771191841	1.1641667813403054	580744	527005	1.5313115589657404	1.047048889479227	0.48426266948651353	31.624045848226224	0.24182429577887876	17.199561200229407	False
18q21.1	1886	1458	189372	176791	0.9959233677629217	0.8247026149521186	1336920	1245222	0.9124704544774556	0.6688767143529427	0.24359374012451285	26.69606878000359	0.17122075281080307	17.192161400470518	False
6q25.3	2138	1659	244802	229243	0.8733588777869462	0.7236862194265473	1555408	1444273	0.8888986040961601	0.6325673885754286	0.25633121552073146	28.836946569555177	0.1496726583603989	17.137589388186324	False
12q13.3	666	389	43418	30602	1.5339260214657515	1.2711587477942619	322558	230142	1.4887245084604939	1.2813827984461768	0.20734171001431712	13.927473406663493	0.26276727367148967	17.13037460701011	False
3p21.32	30	23	2315	2140	1.2958963282937366	1.074766355140187	20623	19225	0.3976143141153081	0.4837451235370611	-0.086130809421753	-21.66189856957088	0.22112997315354965	17.063862928348918	False
14q21.2	1370	969	151409	129047	0.9048339266490103	0.7508892109076538	1081908	921938	0.6290738214339852	0.4724829652319354	0.15659085620204977	24.892286225660776	0.15394471574135649	17.013587931155506	False
19p13.11	2292	1740	163916	149887	1.3982771663534983	1.1608745254758583	1110072	1008436	1.4730576034707659	1.1617990631036574	0.3112585403671084	21.130099707827586	0.23740264087763996	16.97822481766982	False
3q27.3	864	654	89322	81437	0.9672868946060321	0.803074769453688	568082	516293	0.9378927690016583	0.6904993869760001	0.2473933820256582	26.37757643541666	0.16421212515234407	16.976568799603797	False
10q11.21	1346	1035	159797	147999	0.8423186918402723	0.6993290495206049	1062974	982156	0.9115933221320559	0.8545485645864812	0.0570447575455747	6.257698050283766	0.14298964231966738	16.975717588228743	False
9p21.2	952	745	114840	108214	0.8289794496691049	0.6884506625760068	752279	705403	0.7398850692362807	0.5782510139593963	0.16163405527688446	21.845832818835675	0.14052878709309802	16.952023014465734	False
9q22.32	1041	773	101164	90342	1.0290221818038037	0.8556374665161275	684485	605313	1.0307019145781133	0.7572941602113287	0.27340775436678466	26.526365237101146	0.17338471528767618	16.849463340405833	False
3q21.1	714	561	70075	66205	1.0189083125222975	0.847368023563175	487036	456358	0.733826657577674	0.5460625210908979	0.18776413648677603	25.58698768270102	0.17154028895912254	16.83569432606514	False
Xq21.33	974	747	75466	69566	1.290647443882013	1.073800419745278	945906	865527	0.8220690005137931	0.676235403401627	0.14583359711216604	17.73982439685964	0.21684702413673507	16.801414295177462	False
Xp22.32	556	435	42103	39582	1.3205709806902122	1.0989843868425042	432822	406107	1.4049655516586494	1.2723247813999758	0.1326407702586736	9.44085569230384	0.22158659384770796	16.779604965413753	False
7p22.2	546	813	54654	97771	0.9990119661872873	0.8315349132155752	325898	607056	1.1074017023731353	0.7972905300334729	0.31011117233966234	28.003494276295726	0.16747705297171211	16.76426896175083	False
Xq23	1614	1198	125855	112189	1.282428191172381	1.067840875665172	1494909	1321827	0.960727375378702	0.7800566942572666	0.18067068112143536	18.805613928739994	0.2145873155072089	16.732891321660325	False
17q12	3118	2240	227723	196451	1.3692073264448474	1.1402334424360272	1532366	1307043	1.1569690269818047	0.9585759611581257	0.198393065823679	17.147655745048663	0.22897388400882024	16.72309807188601	True
10q24.1	922	722	80464	75635	1.1458540465301252	0.9545845177497191	530813	494987	1.1570929875492877	0.7792123833555225	0.37788060419376523	32.65775596774749	0.19126952878040615	16.69231167438894	False
14q22.3	1133	851	116326	104806	0.9739868988876089	0.8119764135641089	753850	668805	0.8630364130795252	0.6786731558526027	0.18436325722692248	21.362164380651016	0.16201048532350004	16.633743791475254	False
Xp22.31	970	765	62458	59076	1.5530436453296614	1.2949421084704449	660621	610467	1.193119806969503	0.9538599138036945	0.23925989316580853	20.053299909044608	0.25810153685921655	16.61907813314737	True
6q22.33	984	771	102127	95964	0.9635062226443546	0.8034262848568212	764619	710256	1.088254411674311	0.9700727624969026	0.11818164917740837	10.859744551421802	0.16007993778753338	16.61431281140998	False
6q14.2	299	229	35848	32923	0.8340772149073867	0.6955623728092822	233956	212912	0.8356272119543847	0.5875666942210866	0.24806051773329807	29.68554807509538	0.1385148420981045	16.606956720845655	False
9p24.3	1575	1146	148810	129744	1.058396613130838	0.8832778394376619	928652	799077	0.8806312806088826	0.5825471137324688	0.2980841668764138	33.848918774531114	0.17511877369317608	16.54566648462319	False
3p24.1	1731	1336	204772	189203	0.845330416267849	0.7061198818200557	1340222	1227926	0.7112254536934925	0.541074950770649	0.1701505029228435	23.923567701244142	0.1392105344477933	16.468179988413368	False
10p13	2788	2159	280527	259904	0.9938437298370567	0.8306913321841911	1785023	1650351	0.9923121438771377	0.6724630093840643	0.3198491344930734	32.23271391634559	0.1631523976528656	16.416302961393626	False
